Model;Approach;Repetition;Resets;stepsUntilLastReset;lastCandidatePrint
herman17_oneinit.pm();cautious1;64;TO;TO;Resets: 1603 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;65;TO;TO;Resets: 1527 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;66;TO;TO;Resets: 1633 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;67;TO;TO;Resets: 1584 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;68;TO;TO;Resets: 1600 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;69;TO;TO;Resets: 1559 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;70;TO;TO;Resets: 1606 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;71;TO;TO;Resets: 1029 visitNo: 1 candSize: 2

scale.pm(N=10,M=50);cautious1;59;1268;3743;Resets: 1268 visitNo: 1 candSize: 50

herman17_oneinit.pm();cautious1;73;TO;TO;Resets: 1628 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;72;TO;TO;Resets: 1623 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;75;TO;TO;Resets: 1590 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;76;TO;TO;Resets: 1660 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;77;TO;TO;Resets: 1566 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;74;TO;TO;Resets: 1626 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;78;TO;TO;Resets: 1697 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;79;TO;TO;Resets: 1604 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;80;TO;TO;Resets: 1661 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;81;TO;TO;Resets: 1608 visitNo: 1 candSize: 2

