"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-9.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 2 ;stepsInResetRuns 223
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold05-0.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.5,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold05-1.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.5,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold05-10.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.5,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold05-11.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.5,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold05-12.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.5,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold05-13.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.5,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold05-14.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.5,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold05-15.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.5,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold05-16.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.5,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold05-17.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.5,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold05-18.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.5,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold05-19.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.5,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold05-2.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.5,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold05-3.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.5,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold05-4.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.5,Resets 1 ;stepsInResetRuns 175
